project	randomized	qtf	tot_ccm	add_ccm	tot_ccs	add_ccs	tot_pc-sys	add_pc-sys	tot_pc-chg	add_pc-chg	tot_st-sys	add_st-sys	tot_st-chg	add_st-chg	ir_test_low	ir_test_high	randomized_div	qtf_div	tot_ccm_div	add_ccm_div	tot_ccs_div	add_ccs_div	tot_pc-sys_div	add_pc-sys_div	tot_pc-chg_div	add_pc-chg_div	tot_st-sys_div	add_st-sys_div	tot_st-chg_div	add_st-chg_div	ir_test_low_div	ir_test_high_div	randomized_bt	qtf_bt	tot_ccm_bt	add_ccm_bt	tot_ccs_bt	add_ccs_bt	tot_pc-sys_bt	add_pc-sys_bt	tot_pc-chg_bt	add_pc-chg_bt	tot_st-sys_bt	add_st-sys_bt	tot_st-chg_bt	add_st-chg_bt	ir_test_low_bt	ir_test_high_bt	tot_pf_all	add_pf_all	tot_pf_dp	add_pf_dp	tot_pf_pc	add_pf_pc	tot_pf_rc	add_pf_rc	tot_pf_pcc	add_pf_pcc	tot_pf_rcc	add_pf_rcc	tot_pf_all_div	add_pf_all_div	tot_pf_dp_div	add_pf_dp_div	tot_pf_pc_div	add_pf_pc_div	tot_pf_rc_div	add_pf_rc_div	tot_pf_pcc_div	add_pf_pcc_div	tot_pf_rcc_div	add_pf_rcc_div	tot_pf_all_bt	add_pf_all_bt	tot_pf_dp_bt	add_pf_dp_bt	tot_pf_pc_bt	add_pf_pc_bt	tot_pf_rc_bt	add_pf_rc_bt	tot_pf_pcc_bt	add_pf_pcc_bt	tot_pf_rcc_bt	add_pf_rcc_bt
hadoop-common	0.9919969578506762	0.9984271548760316	0.9850804943498616	0.9902739011098964	0.9861241156833903	0.9905637902257367	0.9578339994707689	0.928507414707137	0.9846471630585996	0.9952319797414276	0.9846085324751641	0.9898272256131201	0.9784542581283237	0.9977222984103262	0.9344073913839621	0.9177160836473582	0.9988834290269146	0.9920545387764477	0.9998957123057407	0.9999717814281047	0.9998921627736949	0.9999793630337513	0.9983488602731996	0.9923977597020608	0.9986798263021076	0.9962564042505001	0.9984928401015051	0.9998131619707389	0.9997134897114585	0.9998544797237172	0.9988805683164369	0.9988834276461513	0.9924948347193849	0.9984256353632803	0.985084333399266	0.9903028904129402	0.9861241156833903	0.9905655581183259	0.969465615808258	0.9952045035551255	0.9888164463730444	0.9986732468158454	0.9847949228037923	0.9903508612687217	0.9784617311445056	0.9978597375322251	0.9344073913839621	0.9177160836473582	0.9920909216727094	0.995916078179503	0.9917976777495481	0.9957743765802411	0.9923869748748749	0.9954770275867344	0.991453150753608	0.9956284986754215	0.9908430764126245	0.9948016227453008	0.9914701929860779	0.995587867821566	0.997735821762425	0.9943617987556946	0.997735821762425	0.9952030950724127	0.997735821762425	0.9944331520033787	0.997735821762425	0.9960025753878075	0.9986836435592236	0.9972692807829572	0.9986833929977675	0.9961074952348751	0.9956329600509092	0.9984867453398398	0.9956329600509092	0.9984867453398398	0.9956329600509092	0.9984867453398398	0.9956329600509116	0.9984867453398398	0.9939910046101865	0.9990678351338094	0.9937101474253146	0.9987874364685925
hadoop-hdfs	0.5773837055124694	0.8646761511459666	0.3816084535210928	0.5868505364216792	0.3784599726586275	0.5198036684174693	0.6465761669213421	0.7257732510925017	0.8739621830357936	0.6850462915586352	0.23032465600875762	0.6081483092334007	0.2680485503173719	0.6037686218287478	0.8757177637377174	0.8551582787704539	0.8389905250898448	0.573430629514591	0.9276428731161952	0.8862683938194073	0.9274720550642415	0.911862856832586	0.9006284773763333	0.6898624727400477	0.8686150392951031	0.6284940087937511	0.9014561415367202	0.6345347293565609	0.930996237695103	0.6260773451254726	0.9243832086716564	0.9283610648794265	0.5751066861205748	0.8646761517163807	0.38160504656971284	0.6533355686642672	0.37845706850336236	0.5324535357062526	0.6931675526020626	0.9701094870687136	0.8661587134197973	0.8649107358520893	0.23348804637643056	0.8305793920641422	0.2713658695443342	0.8462965758028664	0.8757177637377174	0.8551582787704539	0.9807728672966826	0.9620077805841529	0.9815104371448727	0.9594666385606447	0.9813497087525791	0.9816626130916488	0.9817475247822464	0.9821407866800509	0.9177569663714219	0.9816296830088603	0.9881570333854207	0.9881921500955914	0.9663039962827814	0.9479095366817243	0.9666272831239378	0.9508959517369826	0.9769799928845749	0.979985440515849	0.9803408430087784	0.9824641750402907	0.9019980011547708	0.9878825419772904	0.9759214469006255	0.9882129732982308	0.9880032326134498	0.9880382121020991	0.9880032326134498	0.9880382121020991	0.9880085181637417	0.9881794217249401	0.9880085181637416	0.9881819141150406	0.9022932815671624	0.9878562106918122	0.9881886423902848	0.9882080295577172
hbase-server	0.9470909987028149	0.9969423722048216	0.7782196808550241	0.8706814025001077	0.7757193823579214	0.8525072995875652	0.7760803245737836	0.9480865050160816	0.7010458770088008	0.9472315747938489	0.7814086209264041	0.971140888365677	0.7799458671031717	0.9079576700107719	0.9043118562569136	0.9601411874690693	0.9958155928005082	0.9448545216305315	0.9254916476119447	0.9887165284802911	0.9036257883944016	0.9779686491528764	0.9951503665316896	0.9531298066332943	0.9966582019787537	0.9475370734545377	0.9966483557209556	0.9999028861540653	0.9956423568267391	0.9988958866578103	0.9955358816549531	0.9948533699561738	0.9507577925044718	0.9969423261578825	0.7778831373639928	0.8763466994007452	0.7757226782342287	0.8530923337436718	0.7755129252628161	0.9946739325106386	0.7102994978892432	0.9962282479713687	0.7833966159508411	0.9754200334672231	0.7800244534408973	0.918322902959648	0.9043118562569136	0.9601411874690693	0.6973126086548845	0.9498952135040979	0.6966660339192854	0.9465804294950112	0.6975841643637226	0.9484415647845639	0.697324325253896	0.9498269029490841	0.734580055977053	0.9903350622562695	0.9622343881290247	0.9986243936942438	0.9888045650951964	0.9498983757447219	0.9888045650951964	0.9484149051455973	0.9888045650951962	0.9458945541689405	0.9767064137842454	0.9467439784516158	0.9966839846778042	0.9916827478047913	0.9970656096126153	0.9999965768640598	0.7057073913191847	0.9969478236002157	0.7057073920911482	0.9969478162236755	0.7057073926057891	0.996947818083723	0.7055731846985615	0.9969478069482787	0.7436420286230089	0.9985402700310636	0.9967128944351015	0.999498020202812
zookeeper-server	0.9387004162637711	0.9086605122575224	0.9926503389815702	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9476296659269363	0.9352509338528358	0.9466475274733699	0.9171648957273341	0.9862385271259632	0.9631081681258562	0.9399179612785145	0.934417493022385	0.9092553904146838	0.925470307913191	0.9105768122743596	0.9402074737212568	0.9087392542323299	0.9463325205170972	0.9022230481988864	0.9292478717369972	0.911441276045582	0.9296423320691499	0.9159413006365915	0.9419287534623276	0.9110678549373474	0.9267400267711418	0.9104385994170724	0.9310119662664926	0.9083050506772518	0.907705161665453	0.9370002620885993	0.9086605122575224	0.9926503389815703	0.9926503389815701	0.9926503389815702	0.9926503389815701	0.9504808720064396	0.9035522008928671	0.9553028875775441	0.904985581275601	0.9843710715777018	0.9023193895028315	0.913355978687048	0.9074576095335645	0.9092553904146838	0.925470307913191	0.9415220418324739	0.9394757019175622	0.9433944844938544	0.9385421288889104	0.943266444840401	0.9331927963361746	0.9456025906726733	0.9379844301287595	0.9908310418249888	0.9748275184811792	0.9415274225775421	0.939320306531588	0.9144987911142443	0.938238874843187	0.9144987911142443	0.935426801667523	0.9144987911142443	0.9361172937415775	0.9144987911142443	0.9354496788978425	0.9174484256878012	0.9387774598759147	0.9104099309116039	0.9431295265916882	0.9351989143716624	0.9079376446705919	0.9351989143716624	0.9079376446705919	0.9351989143716624	0.9079376446705919	0.9351989143716624	0.9079376446705919	0.9912388740111242	0.9710511520035909	0.9104099309116039	0.9086613079774665
alluxio-core	0.8231644463847922	0.6790288393662464	0.8522795155667505	0.9354203561274782	0.7934206737786058	0.9230351625605249	0.6845796925577908	0.8112980219037615	0.6984830858577565	0.8068502904801579	0.7303408487055152	0.9407795183903761	0.6751036889975657	0.9393473245984335	0.6720626703741406	0.6687155259779847	0.6834401059408346	0.8003957612453302	0.8364071467945409	0.9832412167051392	0.7570520037502173	0.9697311456309972	0.7909351451308084	0.8153434188129288	0.7571642731604304	0.8124671877091931	0.766420938122045	0.9804052021457209	0.7849171505406631	0.9857374319125565	0.6375274049682529	0.6334246631936035	0.8260417324915894	0.679032545391819	0.8523320679441478	0.9355475472680372	0.7936150670251491	0.9233771904640294	0.6770858884485953	0.6790257300632028	0.6431678283379099	0.6789291154778068	0.7298105054928496	0.9420381011493462	0.6736107803812097	0.9400633209398309	0.6720626703741406	0.6687155259779847	0.882865271845732	0.972436038123028	0.8841215462746986	0.9719554282989429	0.8811551312194147	0.9773926311747797	0.9763501634073112	0.9747055136856855	0.9950036583943282	0.981472723626449	0.9987346875142781	0.999033187202402	0.8553723075621195	0.9698112785075436	0.8571278270320182	0.9712029189288022	0.8666939892303729	0.97489832177708	0.9690051008502415	0.9755179996574607	0.9445374632440183	0.99888052075846	0.9982054173410165	0.9989640580875971	0.8709672284553498	0.9922008870444368	0.8709672675824175	0.9922010352612011	0.8834453655173982	0.9939454179809694	0.9942140465642665	0.9949632035953008	0.9975877029105301	0.997959944056547	0.9982054173410244	0.9989640580876052
