project	randomized	qtf	tot_ccm	add_ccm	tot_ccs	add_ccs	tot_pc-sys	add_pc-sys	tot_pc-chg	add_pc-chg	tot_st-sys	add_st-sys	tot_st-chg	add_st-chg	ir_test_low	ir_test_high	randomized_div	qtf_div	tot_ccm_div	add_ccm_div	tot_ccs_div	add_ccs_div	tot_pc-sys_div	add_pc-sys_div	tot_pc-chg_div	add_pc-chg_div	tot_st-sys_div	add_st-sys_div	tot_st-chg_div	add_st-chg_div	ir_test_low_div	ir_test_higdiv	randomized_bt	qtf_bt	tot_ccm_bt	add_ccm_bt	tot_ccs_bt	add_ccs_bt	tot_pc-sys_bt	add_pc-sys_bt	tot_pc-chg_bt	add_pc-chg_bt	tot_st-sys_bt	add_st-sys_bt	tot_st-chg_bt	add_st-chg_bt	ir_test_low_bt	ir_test_high_bt	tot_pf_all	add_pf_all	tot_pf_dp	add_pf_dp	tot_pf_pc	add_pf_pc	tot_pf_rc	add_pf_rc	tot_pf_pcc	add_pf_pcc	tot_pf_rcc	add_pf_rcc	tot_pf_all_div	add_pf_all_div	tot_pf_dp_div	add_pf_dp_div	tot_pf_pc_div	add_pf_pc_div	tot_pf_rc_div	add_pf_rc_div	tot_pf_pcc_div	add_pf_pcc_div	tot_pf_rcc_div	add_pf_rcc_div	tot_pf_all_bt	add_pf_all_bt	tot_pf_dp_bt	add_pf_dp_bt	tot_pf_pc_bt	add_pf_pc_bt	tot_pf_rc_bt	add_pf_rc_bt	tot_pf_pcc_bt	add_pf_pcc_bt	tot_pf_rcc_bt	add_pf_rcc_bt
hadoop-common	0.9927620174520179	0.9898915005919702	0.991630849645963	0.9986462481966877	0.9922341105155282	0.9984539172788133	0.9786835144375955	0.9922538579847295	0.99269953880968	0.9958576596465952	0.9850855597908906	0.9981411153464461	0.9915141549142945	0.9989173851924706	0.9107986077931375	0.8953021101782502	0.9922424598911084	0.9926512792328092	0.9915336665050605	0.9978775227945877	0.9907470272882788	0.9980586822148776	0.9895015491630736	0.9915397208685618	0.9901421181192991	0.9951018860732596	0.9899537510374299	0.9968774319483645	0.994591733339531	0.997679946552961	0.9973135552798184	0.9976162187180749	0.9926686233406876	0.9898523321871538	0.9916604390179438	0.9986652699358182	0.9922341105155282	0.9984539172788133	0.9816237070685099	0.9875000584463213	0.986309315124477	0.9907127782199144	0.9853198593077988	0.9983633375686684	0.9915464828552005	0.9989468142196071	0.9107986077931375	0.8953021101782502	0.9886175646218085	0.9954065138971708	0.988356393124224	0.9949231201773641	0.98862269747205	0.9952772868440307	0.9882060308053834	0.9948153303222915	0.9975161153464461	0.9976182459800801	0.9968591666787432	0.9967164998258669	0.9942570573754317	0.9946903303222916	0.9942570573754317	0.9952561515783303	0.9942570573754317	0.9949675042353351	0.9942570573754317	0.9964327820131128	0.9906019650264555	0.9965560661700581	0.9903030872564504	0.9957367844765127	0.9921435308053833	0.9986350766991031	0.9921435308053833	0.9986350766991031	0.9921435308053833	0.9986350766991031	0.9921435308053833	0.9986350766991031	0.99308797671197	0.9938507711874118	0.9906841866769871	0.9916019558776505
hadoop-hdfs	0.5783520328903695	0.6212665855940608	0.6595478615803071	0.7420947981489949	0.6576258032732976	0.7175781690931038	0.5668842438306921	0.7392502366539383	0.8678145733033502	0.680868545518233	0.30799700733365204	0.6518017107489384	0.34229789901250773	0.6461310859773551	0.9144847296834049	0.8865188822678475	0.5892237586634339	0.5738364014410423	0.7196071380618556	0.7461797655933906	0.7061087113401209	0.7687602082821152	0.6560334907276848	0.6955935854729992	0.6456737899343818	0.6232010229196774	0.657691489771467	0.6197172145708795	0.6918062268986214	0.6445900345067436	0.6564799114629184	0.6633596022019603	0.5766654292977875	0.6212689451976474	0.6594727803345685	0.7055949910158151	0.6576177318795354	0.7260129120196712	0.5841354790642318	0.82508019154018	0.795486346624307	0.6513467058882919	0.310230085689751	0.7408583317283814	0.3438175530726355	0.7494416693648253	0.9144847296834049	0.8865188822678475	0.9882539543773916	0.9701107817820183	0.9890364227009784	0.9677271031575232	0.9888856349687595	0.9900588160678209	0.989345133433742	0.990470407556549	0.9156530025181299	0.9845326215443875	0.9962909203671886	0.9965329380146387	0.9093356492796694	0.954672560552851	0.9097370869015018	0.9577641233635761	0.9152176725327136	0.9815782947200038	0.9379730632734268	0.9892463540592187	0.8521609728099673	0.9881695687805111	0.9176472061292169	0.9950164868564897	0.9903351556444481	0.9769615087911637	0.9903351556444481	0.9769615087911637	0.990365174856744	0.9914007499054769	0.990365174856744	0.9914159789503112	0.8650758614287333	0.9847965931559807	0.9963062958523304	0.9965329380146387
hbase-server	0.9463680594936826	0.9625669474739417	0.7933884798070681	0.9445471422968899	0.7926236835959536	0.9223481313026094	0.7619198036618591	0.9481838331001247	0.6845117483101997	0.9467584604217761	0.7793387705569235	0.9743553240407783	0.7743492539549054	0.9277509584038979	0.9740444030627895	0.979679934327469	0.9691455987422131	0.9461024223674521	0.8244332557193801	0.9574161717565489	0.8111051754196473	0.9329502898900577	0.9183333980039309	0.9487631450724728	0.9454865059469111	0.9474533909825653	0.9227104778155484	0.9924470603077437	0.9158648237815084	0.9920301712807383	0.9818220201055087	0.9804350692166436	0.9501229659853421	0.9625495839798759	0.7932521835361205	0.9486364293873393	0.7926352407735692	0.9232509572262276	0.7560330052370592	0.9701734110194569	0.6854908970373458	0.9652222451047686	0.7797646450856598	0.9756425173130815	0.7736627678104928	0.9337039929673373	0.9740444030627895	0.979679934327469	0.6869336561553853	0.9488643659216781	0.6871382470479089	0.946912019804282	0.6876027387767233	0.948558587605022	0.6872928300672302	0.9497924110233312	0.6935590261303733	0.9901920360844548	0.9593652097914597	0.9983885980413459	0.9469046693695742	0.9503784457330907	0.9469046693695742	0.9486771171298025	0.9469046693695742	0.9463684901185849	0.9323753240865594	0.9461469895292948	0.9534254227802426	0.9906388600199338	0.9770371939893681	0.9991436798365327	0.6888020760028551	0.9654307251943531	0.6888027337245073	0.9654302867132517	0.6888031722056087	0.9654307701146346	0.6887476018618214	0.9654298482321502	0.6961503438528772	0.9902800317469755	0.9815597807639903	0.9957948972574047
zookeeper-server	0.9379873166677188	0.8830415009574312	0.9932491021891154	0.9932491021891154	0.9932491021891154	0.9932491021891154	0.9474636798672924	0.927698375435754	0.9610376444914392	0.9275085660276778	0.9906826475250581	0.9641754584622183	0.9172628823587176	0.9229571229544993	0.9146994174750471	0.9250413396320378	0.8880504681066712	0.9392361352222433	0.886479748402528	0.9218406964347089	0.8825522641668245	0.9051454909552568	0.8879610486851981	0.9161443494027454	0.891412886041145	0.9272755735819147	0.8869757801485597	0.9151109046321431	0.8854876849104645	0.9174133073283813	0.8840199745386444	0.8835239427926127	0.9364836434463313	0.8830415009574312	0.9932491021891154	0.9932491021891154	0.9932491021891154	0.9932491021891154	0.950311559665846	0.8815737905856112	0.9569368603974217	0.8730395457638056	0.9883431443721987	0.8906588651810702	0.8661834357398873	0.883802755157152	0.9146994174750471	0.9250413396320378	0.9487697996233403	0.9399510346744383	0.9503653910562605	0.9387703432197743	0.9502660488079456	0.9334354878164257	0.9523077970140774	0.938842301797726	0.9906115722913116	0.9753607025370171	0.9406523485996254	0.9384737916377333	0.9156914809671106	0.9389062423282761	0.9156914809671106	0.9358826230632185	0.9156914809671106	0.9362517929914638	0.9156914809671106	0.9359028720303852	0.9122600284774389	0.9374451910127728	0.9004707808149036	0.9434859743352342	0.9417365451114899	0.8936010808801352	0.9417365451114899	0.8936010808801352	0.9417365451114899	0.8936010808801352	0.9417365451114899	0.8936010808801352	0.988288784728798	0.9679514831414964	0.9004707808149036	0.8940903176707419
alluxio-core	0.8199575667112371	0.3845328408374614	0.9060944610858985	0.993301130231714	0.8915522703604472	0.9864978917626267	0.7991521334207792	0.8070304861951861	0.8367530336667595	0.8129202100832315	0.866103219076516	0.9948050556487895	0.8599581438231614	0.9956477936271998	0.8083498545594952	0.8032345123088814	0.42672630875266926	0.7986373847872016	0.5496157735153936	0.8404380076763213	0.5402887520404693	0.770478276774976	0.4614479948744151	0.8133176915528595	0.42396832884625224	0.8143363327878553	0.45317826593417104	0.9119123533444504	0.45948461023860127	0.9372769206740582	0.396836802211903	0.3964265784454476	0.8226147492789487	0.3847381405925649	0.9061570224205403	0.9933342509382891	0.8915117894968554	0.9868327789068857	0.7875151707012199	0.38530288566148074	0.7442746400465577	0.3847273125417467	0.8656506533341715	0.9950516209088485	0.8566122126893219	0.995542298043294	0.8083498545594952	0.8032345123088814	0.9262014953769732	0.9758368666416014	0.9284807998862109	0.9773143861139688	0.9330030473301686	0.977710426095921	0.9773668654362452	0.9748902872132159	0.9952354735679122	0.9844111359820437	0.9980188307799828	0.9988791211760488	0.8837034502352179	0.9733126952670865	0.8857419440774409	0.9719173244301063	0.8985977725328695	0.9756360293961126	0.9707177850294378	0.9769630205322206	0.9518043496655317	0.9984043236963008	0.995663421539353	0.9988543687008014	0.776163035679347	0.867956658170127	0.7762803362478252	0.8679587092889592	0.7886972562167497	0.8684034285420691	0.8656833359581879	0.8692227080902398	0.996851028033074	0.9799140800448504	0.995663421539353	0.9988543687008014
