alluxio.master.ZkMasterInquireClientTest	35.243	35.635	34.559	36.444	37.495
alluxio.collections.IndexedSetConcurrencyTest	24.06	23.85	25.863	23.982	25.025
alluxio.master.file.PersistenceTest	13.466	13.544	14.492	13.527	13.554
alluxio.master.file.replication.ReplicationCheckerTest	11.618	12.607	11.627	11.776	11.709
alluxio.master.file.FileSystemMasterTest	11.8	11.933	11.889	11.961	11.647
alluxio.client.block.stream.GrpcDataWriterTest	9.171	8.039	8.534	7.854	9.341
alluxio.resource.DynamicResourcePoolTest	8.218	8.225	8.231	8.226	8.227
alluxio.client.file.FileInStreamTest	6.788	6.294	6.711	6.26	6.301
alluxio.hadoop.AbstractFileSystemTest	6.396	6.323	6.476	6.527	6.138
alluxio.worker.block.TieredBlockStoreTest	5.625	5.535	5.475	5.583	5.63
alluxio.client.file.FileOutStreamTest	5.129	5.492	5.791	5.108	5.352
alluxio.master.file.AccessTimeUpdaterTest	5.324	5.248	2.403	5.351	5.246
alluxio.concurrent.CountingLatchTest	5.149	5.15	5.156	5.163	5.156
alluxio.resource.ResourcePoolTest	5.141	5.143	5.15	5.142	5.144
alluxio.client.block.stream.UfsFallbackLocalFileDataWriterTest	4.924	3.618	4.101	3.848	4.539
alluxio.client.block.stream.GrpcBlockingStreamTest	4.308	4.21	4.138	4.151	4.152
alluxio.worker.block.BlockLockManagerTest	3.749	3.631	2.813	2.989	3.772
alluxio.master.journal.sink.JournalSinkTest	3.609	3.5	3.644	3.543	3.431
alluxio.client.block.AlluxioBlockStoreTest	3.233	3.034	3.102	3.285	3.302
alluxio.master.AlluxioMasterProcessTest	3.366	3.329	3.351	3.284	3.289
alluxio.client.block.stream.LocalFileDataWriterTest	3.096	3.359	3.456	3.359	3.246
alluxio.client.block.stream.GrpcDataReaderTest	3.21	3.267	3.012	3.172	3.193
alluxio.client.file.BaseFileSystemTest	2.984	3.179	3.319	3.333	3.193
alluxio.worker.block.BlockWorkerTest	3.162	3.264	3.138	3.102	3.129
alluxio.master.metastore.InodeStoreTest	3.062	3.211	2.996	3.188	3.125
alluxio.master.file.PermissionCheckTest	2.543	2.569	2.81	2.659	2.651
alluxio.master.metastore.caching.CachingInodeStoreMockedBackingStoreTest	2.245	2.35	2.354	2.383	2.347
