alluxio.master.ZkMasterInquireClientTest#testNoParticipant	16.175	16.891	16.214	17.748	17.896
alluxio.master.ZkMasterInquireClientTest#testNoPath	16.428	16.201	16.026	16.713	17.416
alluxio.collections.IndexedSetConcurrencyTest#concurrentAdd	8.754	8.515	10.403	8.648	9.269
alluxio.client.block.stream.GrpcDataWriterTest#writeFileManyChunks	4.915	3.98	4.271	4.049	5.531
alluxio.collections.IndexedSetConcurrencyTest#nonUniqueConcurrentUpdate	5.049	5.03	5.22	5.038	5.227
alluxio.collections.IndexedSetConcurrencyTest#concurrentUpdate	5.108	5.102	5.09	5.085	5.218
alluxio.resource.ResourcePoolTest#resourcePoolTimestampOverflow	5.061	5.066	5.065	5.064	5.065
alluxio.collections.IndexedSetConcurrencyTest#basicConcurrentUpdate	5.01	5.083	5.064	5.099	5.062
alluxio.resource.DynamicResourcePoolTest#TimestampOverflow	5.003	5.003	5.002	5.003	5.003
alluxio.worker.block.TieredBlockStoreTest#freeSpaceThreadSafe	2.551	2.543	2.506	2.533	2.555
alluxio.master.file.PersistenceTest#retryFailed	2.225	2.166	2.135	2.212	2.229
alluxio.master.file.PersistenceTest#replayPersistRequest	2.157	2.214	2.187	2.15	2.226
alluxio.master.journal.sink.JournalSinkTest#replayEvents	2.309	2.205	2.274	2.22	2.164
alluxio.master.AlluxioMasterProcessTest#startStopPrimary	2.267	2.263	2.173	2.196	2.144
alluxio.master.file.PersistenceTest#replayPersistJob	2.12	2.119	2.143	2.176	2.115
alluxio.hadoop.AbstractFileSystemTest#hadoopShouldLoadFileSystemWithSingleZkUri	2.189	2.157	2.167	2.094	2.074
alluxio.client.file.FileInStreamTest#readManyChunks[0]	2.265	1.999	2.158	1.875	2.034
alluxio.concurrent.CountingLatchTest#await	2.001	2.001	2.004	2.003	2.001
alluxio.master.journal.ufs.UfsJournalCheckpointThreadTest#checkpointBeforeShutdown	1.654	1.642	1.656	1.67	1.747
alluxio.util.executor.ControllableSchedulerTest#scheduleAtFixedRate	1.515	0.227	2.443	1.906	1.7
alluxio.master.ZkMasterInquireClientTest#testMultipleLeaders	1.893	1.779	1.563	1.243	1.435
alluxio.client.file.FileOutStreamTest#singleByteWrite	1.103	1.451	1.307	1.392	1.308
alluxio.worker.block.BlockLockManagerTest#stress	1.26	1.29	0.417	0.467	1.3
alluxio.master.file.PersistenceTest#heartbeatEmpty	1.319	1.342	2.295	1.305	1.299
alluxio.wire.AlluxioWorkerInfoTest#equals	1.203	1.259	1.173	1.201	1.241
alluxio.util.io.BufferUtilsTest#cleanDirectBuffer	1.191	1.239	1.21	1.191	1.233
alluxio.master.file.PersistenceTest#retryPersistJobRenameDelete	1.121	1.143	1.185	1.144	1.22
alluxio.master.file.PersistenceTest#successfulAsyncPersistence	1.226	1.203	1.164	1.193	1.202
alluxio.wire.CapacityTest#equals	1.346	1.14	1.198	0.994	1.165
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatMultipleFilesUnderReplicated	1.097	1.046	0.088	1.092	1.113
alluxio.time.ExponentialTimerTest#expiration	1.14	1.11	1.121	1.107	1.106
alluxio.hadoop.AbstractFileSystemApiTest#parseZkUriWithPlusDelimiters	1.12	1.215	1.312	1.226	1.103
alluxio.master.file.PersistenceTest#noRetryCanceled	1.093	1.132	1.131	1.138	1.095
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatFileUnderReplicatedAndLost	1.09	1.034	1.084	1.081	1.087
alluxio.master.metastore.caching.CachingInodeStoreMockedBackingStoreTest#cacheGetChildMany	0.782	1.163	1.084	1.159	1.083
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatFileUnderReplicatedBy10	1.039	1.052	1.049	1.068	1.082
alluxio.concurrent.CountingLatchTest#unblockMultipleInc	1.071	1.071	1.072	1.08	1.074
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatFileWithinRange	1.062	1.088	1.045	1.05	1.067
alluxio.master.file.AccessTimeUpdaterTest#updateAccessTimeAsync	1.047	1.03	0.066	1.074	1.056
alluxio.master.journal.raft.transport.CopycatGrpcTransportTest#testServerClosed	1.097	1.055	1.063	1.086	1.055
alluxio.wire.AlluxioMasterInfoTest#equals	1.203	1.129	1.104	0.959	1.054
alluxio.master.file.PersistenceTest#empty	1.06	1.04	1.044	1.041	1.052
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatFilesUnderAndOverReplicated	1.037	1.03	1.065	0.089	1.049
alluxio.master.file.AccessTimeUpdaterTest#updateAccessTimePrecisionAsync	1.079	1.054	1.086	1.079	1.045
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatFileOverReplicatedBy10	1.039	1.048	1.032	1.08	1.042
alluxio.master.file.AccessTimeUpdaterTest#updateAccessTimeImmediately	1.075	1.017	0.086	1.096	1.037
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatWhenTreeIsEmpty	1.074	1.077	1.031	1.068	1.03
alluxio.client.block.stream.LocalFileDataWriterTest#streamCancelled	0.917	1.369	1.097	1.176	1.029
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatFileUnderReplicatedBy1	1.037	1.022	1.09	1.097	1.023
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatFileOverReplicatedBy1	1.023	1.027	1.019	1.026	1.023
alluxio.master.file.AccessTimeUpdaterTest#updateAccessTimePrecision	1.02	1.026	0.072	1.03	1.021
alluxio.master.file.replication.ReplicationCheckerTest#heartbeatFileDoesnotNeedMove	1.025	1.052	1.076	1.071	1.021
alluxio.worker.block.TieredBlockStoreTest#moveBlockMetaWithBlockLocked	1.028	1.02	1.02	1.022	1.02
alluxio.worker.block.TieredBlockStoreTest#createBlockMetaWithBlockLocked	1.016	1.009	1.035	1.019	1.009
alluxio.concurrent.CountingLatchTest#interruptInc	1.001	1.001	1.001	1.001	1.001
alluxio.resource.DynamicResourcePoolTest#multiClients	1.001	1.002	1.001	1.002	1.001
alluxio.resource.DynamicResourcePoolTest#acquireWithoutCapacity	1.0	1.001	1.001	1.001	1.001
alluxio.concurrent.CountingLatchTest#blockAndUnblockInc	1.001	1.002	1.001	1.001	1.0
